Annotation,cell_class,Max_TopStruct,NT_binary,Meta_Class,Annotation Reduced,Anno + Topstruct,Anno + Topstruct + Layer
Inh_Frmd7_Zim1,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Frmd7_Zim1,Inh_Frmd7_Zim1_OLF,Inh_Frmd7_Zim1_OLF
Inh_Usp43_Pvalb,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Usp43_Pvalb,Inh_Usp43_Pvalb_OLF,Inh_Usp43_Pvalb_OLF
Inh_Klhl14_Gpr101,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Klhl14_Gpr101,Inh_Klhl14_Gpr101_OLF,Inh_Klhl14_Gpr101_OLF
Inh_Usp43_Arhgap6,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Usp43_Arhgap6,Inh_Usp43_Arhgap6_OLF,Inh_Usp43_Arhgap6_OLF
Inh_Plpp4_Cartpt,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Plpp4_Cartpt,Inh_Plpp4_Cartpt_OLF,Inh_Plpp4_Cartpt_OLF
Inh_Cobll1_Heg1,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Cobll1_Heg1,Inh_Cobll1_Heg1_OLF,Inh_Cobll1_Heg1_OLF
Inh_Plpp4_Pdgfd,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Plpp4_Pdgfd,Inh_Plpp4_Pdgfd_OLF,Inh_Plpp4_Pdgfd_OLF
NG_Myoz1_7,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,NG_Myoz1,NG_Myoz1_OLF,NG_Myoz1_OLF
NG_Myoz1_8,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,NG_Myoz1,NG_Myoz1_OLF,NG_Myoz1_OLF
Inh_Plpp4_Fn1,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Plpp4_Fn1,Inh_Plpp4_Fn1_OLF,Inh_Plpp4_Fn1_OLF
Inh_Plpp4_Fbln5,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Plpp4_Fbln5,Inh_Plpp4_Fbln5_OLF,Inh_Plpp4_Fbln5_OLF
Inh_Plpp4_Ret,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Plpp4_Ret,Inh_Plpp4_Ret_OLF,Inh_Plpp4_Ret_OLF
Inh_Plpp4_Aox3_1,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Plpp4_Aox3,Inh_Plpp4_Aox3_OLF,Inh_Plpp4_Aox3_OLF
Inh_Plpp4_Aox3_2,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Plpp4_Aox3,Inh_Plpp4_Aox3_OLF,Inh_Plpp4_Aox3_OLF
Inh_Plpp4_Aox3_3,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Plpp4_Aox3,Inh_Plpp4_Aox3_OLF,Inh_Plpp4_Aox3_OLF
Inh_Plpp4_Aox3_4,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Plpp4_Aox3,Inh_Plpp4_Aox3_OLF,Inh_Plpp4_Aox3_OLF
Inh_Plpp4_Aox3_5,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Plpp4_Aox3,Inh_Plpp4_Aox3_OLF,Inh_Plpp4_Aox3_OLF
Inh_Plpp4_Aox3_6,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Plpp4_Aox3,Inh_Plpp4_Aox3_OLF,Inh_Plpp4_Aox3_OLF
Inh_Sel1l3_Zfp385c_1,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Sel1l3_Zfp385c,Inh_Sel1l3_Zfp385c_OLF,Inh_Sel1l3_Zfp385c_OLF
Inh_Sel1l3_Zfp385c_2,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Sel1l3_Zfp385c,Inh_Sel1l3_Zfp385c_OLF,Inh_Sel1l3_Zfp385c_OLF
Inh_Sel1l3_Zfp385c_3,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Sel1l3_Zfp385c,Inh_Sel1l3_Zfp385c_OLF,Inh_Sel1l3_Zfp385c_OLF
Inh_Creb5_Ror1_1,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Creb5_Ror1,Inh_Creb5_Ror1_OLF,Inh_Creb5_Ror1_OLF
Inh_Creb5_Ror1_2,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Creb5_Ror1,Inh_Creb5_Ror1_OLF,Inh_Creb5_Ror1_OLF
Ex_Iqcj_Ms4a15_1,neuron,OLF,VGLUT1,MC_180:Main olfactory bulb neurons,Ex_Iqcj_Ms4a15,Ex_Iqcj_Ms4a15_OLF,Ex_Iqcj_Ms4a15_OLF
Ex_Iqcj_Ms4a15_2,neuron,OLF,VGLUT1,MC_180:Main olfactory bulb neurons,Ex_Iqcj_Ms4a15,Ex_Iqcj_Ms4a15_OLF,Ex_Iqcj_Ms4a15_OLF
Ex_Iqcj_Ms4a15_3,neuron,OLF,VGLUT1_VGLUT2,MC_180:Main olfactory bulb neurons,Ex_Iqcj_Ms4a15,Ex_Iqcj_Ms4a15_OLF,Ex_Iqcj_Ms4a15_OLF
Ex_Iqcj_Ms4a15_4,neuron,OLF,VGLUT1_VGLUT2,MC_180:Main olfactory bulb neurons,Ex_Iqcj_Ms4a15,Ex_Iqcj_Ms4a15_OLF,Ex_Iqcj_Ms4a15_OLF
Ex_Iqcj_Ms4a15_5,neuron,OLF,VGLUT1_VGLUT2,MC_180:Main olfactory bulb neurons,Ex_Iqcj_Ms4a15,Ex_Iqcj_Ms4a15_OLF,Ex_Iqcj_Ms4a15_OLF
Ex_Iqcj_Ms4a15_6,neuron,OLF,VGLUT1_VGLUT2,MC_180:Main olfactory bulb neurons,Ex_Iqcj_Ms4a15,Ex_Iqcj_Ms4a15_OLF,Ex_Iqcj_Ms4a15_OLF
